location_name,beach_latlon,orient,latlon
Marfa ,"35.98721794338485, 14.338599332406028",230,"36.00471002774222, 14.358324662815855"
Armier (Little Bay),"35.98989772361428, 14.357844578850289",170,"36.00471002774222, 14.358324662815855"
Ramla tat-Torri ,"35.992512473509564, 14.365076387602455",90,"36.002314506675226, 14.35789551001257"
Ghadira,"35.9691076156781, 14.35105736504889",270,"35.9834949778623, 14.397742396280167"
Mgiebah ,"35.967704970774584, 14.382128981578475",220,"35.97877203129781, 14.400660639334363"
Xemxija ,"35.9464284270206, 14.385210450838413",230,"35.968753098895355, 14.415572161531248"
Qalet Marku ,"35.94513359470297, 14.450909006616033",180,"35.962899471919016, 14.45147240689369"
Bahar ic-Caghaq ,"35.93763129986645, 14.464379685621182",180,"35.96845696714249, 14.471985941461519"
Pembroke ,"35.930099164028356, 14.492179589316516",230,"35.9601205773111, 14.512841349401924"
Sliema ,"35.91350748471232, 14.510352917547186",230,"35.92926828325128, 14.521424418625521"
Ta' Xbiex (Marsamxett) ,"35.89907093076437, 14.50148445317154",230,"35.92447258869856, 14.534814005539143"
Rinella (Grand Harbour) ,"35.89340335356411, 14.515998024365553",240,"35.92447258869856, 14.534814005539143"
Marsaskala ,"35.864937739011204, 14.574602286837008",270,"35.86469632713656, 14.584050616370291"
San Tumas ,"35.856320600821846, 14.569857395703556",270,"35.8569310524743, 14.587062112274445"
Hofriet,"35.83799861585834, 14.566534024773743",310,"35.83540170221512, 14.579679389473702 "
Delimara,"35.83113518769334, 14.54968332854959",330,"35.80210472944644, 14.563923320014954"
Birzebbuga ,"35.8279101456201, 14.534237722091234",300,"35.80210472944644, 14.563923320014954"
Zurrieq ,"35.819454234855826, 14.461189354997646",0,"35.787624047288546, 14.473114454921292"
Ghar Lapsi ,"35.82647055291923, 14.422627758824182",0,"35.814425154323466, 14.416809521357102"
Fomm ir-Rih ,"35.90872066430209, 14.335296935376029",90,"35.911245908135754, 14.307020985557303"
Gnejna ,"35.92188016876998, 14.342038911961165",90,"35.92549551843996, 14.299382052895035"
Ghajn Tuffieha ,"35.92905562491005, 14.342929182750124",90,"35.93870018105601, 14.296978793705412"
Golden Bay ,"35.933870070731054, 14.343496431074058",90,"35.93870018105601, 14.296978793705412"
Anchor Bay,"35.9602011429771, 14.339544800969076",90,"35.959315002922516, 14.304504253437456"
Blue Lagoon ,"36.013480169683945, 14.323019107131312",90,"35.99939149383985, 14.28132996839465"
Santa Marija ,"36.017824776072516, 14.33722907992171",180,"36.0252185786911, 14.367418146135883"
Zewwieqi ,"36.02782132967483, 14.32618924921641",280,"36.02896696830308, 14.36647400880074"
Dahlet Qorrot,"36.050447852118175, 14.316369406746647",180,"36.07115874804437, 14.342098094695704"
San Blas,"36.058188280654605, 14.300794501552797",180,"36.08794589378908, 14.311714030968732"
Ramla l-Hamra ,"36.06298719971342, 14.2836067734798",180,"36.093217150427584, 14.281329967379607"
Marsalform,"36.07319724481209, 14.259473152042261",190,"36.10084597454371, 14.266996242927203"
Qbajjar (Xwejini) ,"36.07925836981544, 14.248196684359735",190,"36.10001377526442, 14.243049480748258"
Dwejra ,"36.05167931994483, 14.1873918287154",90,"36.06093326694568, 14.165606756171396"
Xlendi ,"36.0290100489092, 14.21379493663741",40,"36.00219909554309, 14.173193660951425"
Mgarr ix-Xini ,"36.01803341737026, 14.272913321578601",330,"35.99025510453887, 14.257479395819873"
